revenue,potential_revenue,pl_inventory_percentage
649.43,909.42,-40.03
171.36,196.84,-14.87
620.58,812.38,-30.91
127.68,181.83,-42.41
621.84,841.47,-35.32
514.18,751.94,-46.24
484.86,671.03,-38.4
395.69,625.34,-58.04
715.28,975.1,-36.32
115.77,170.29,-47.09
473.03,764.72,-61.66
376.95,572.05,-51.76
400.67,661.96,-65.21
704.36,940.98,-33.59
219.76,335.69,-52.75
146.1,171.64,-17.48
180.94,311.66,-72.24
69.79,86.06,-23.31
243.67,382.22,-56.86
92.88,237.91,-156.15
657.2,933.13,-41.99
443.46,715.32,-61.3
324.13,455.47,-40.52
140.79,216.47,-53.75
426.9,656.35,-53.75
630.01,866.33,-37.51
499.29,777.16,-55.65
156.33,284.15,-81.76
133.44,246.98,-85.09
714.78,915.86,-28.13
425.53,593.88,-39.56
595.01,858.92,-44.35
190.81,257.98,-35.2
237.97,301.08,-26.52
133.73,157.91,-18.08
630.44,819.05,-29.92
80.58,80.58,0.0
583.83,923.37,-58.16
451.23,565.87,-25.41
700.57,966.88,-38.01
68.66,76.64,-11.62
617.65,846.71,-37.09
577.78,748.94,-29.62
543.51,854.97,-57.31
28.74,58.93,-105.05
448.28,613.79,-36.92
362.69,472.95,-30.4
628.91,873.25,-38.85
308.48,463.17,-50.15
165.65,207.51,-25.27
734.84,913.64,-24.33
604.69,831.27,-37.47
186.38,229.9,-23.35
218.65,297.24,-35.94
284.48,373.62,-31.33
274.26,353.31,-28.82
614.8,1115.55,-81.45
376.24,542.85,-44.28
258.27,511.96,-98.23
114.26,180.23,-57.74
173.94,284.44,-63.53
292.12,434.44,-48.72
230.12,319.34,-38.77
777.74,988.33,-27.08
87.57,215.42,-146.0
152.96,217.9,-42.46
537.31,855.1,-59.14
163.7,215.98,-31.94
278.89,368.47,-32.12
529.19,658.8,-24.49
0.0,0.0,0.0
198.48,256.94,-29.45
729.7,907.47,-24.36
583.16,854.57,-46.54
384.7,508.57,-32.2
334.31,501.66,-50.06
581.28,989.08,-70.16
10.7,19.68,-83.93
270.81,412.8,-52.43
701.48,909.94,-29.72
757.92,1078.61,-42.31
633.06,785.47,-24.08
82.99,135.51,-63.28
548.92,739.22,-34.67
399.4,563.56,-41.1
449.17,697.49,-55.28
513.65,704.33,-37.12
211.75,364.24,-72.01
150.79,221.64,-46.99
250.47,371.17,-48.19
360.28,466.06,-29.36
632.97,827.02,-30.66
535.46,770.33,-43.86
526.63,684.67,-30.01
148.21,169.54,-14.39
291.33,419.64,-44.04
636.55,1083.09,-70.15
112.44,202.75,-80.32
629.06,891.32,-41.69
293.05,407.83,-39.17
372.35,492.18,-32.18
740.92,955.27,-28.93
198.76,234.65,-18.06
177.85,281.83,-58.46
