Course Code,Course Objectives
MTRX1701,"
At the completion of this unit, you should be able to:

LO1. Analyze and formulate requirements for a mechatronic system based on a specification.
LO2. Undertake independent research and analysis and to think creatively about engineering problems.
LO3. Demonstrate a basic knowledge of the norms of professional practice and of common workshop skills - hand tool use, machining, hand soldering, CAD and microcontroller applications.
LO4. Apply a systematic approach to the design process for mechatronic systems.
LO5. Think creatively and independently about new design problems.
LO6. Appreciate the fundamental components that make up typical mechatronic systems, including sensors, actuators, electronic and computing systems.
LO7. Understand the general principles involved in computer-controlled machinery.
LO8. Demonstrate a basic understanding of system modelling and approaches to control.

"
MTRX1701,"
At the completion of this unit, you should be able to:

LO1. Analyze and formulate requirements for a mechatronic system based on a specification.
LO2. Undertake independent research and analysis and to think creatively about engineering problems.
LO3. Demonstrate a basic knowledge of the norms of professional practice and of common workshop skills - hand tool use, machining, hand soldering, CAD and microcontroller applications.
LO4. Apply a systematic approach to the design process for mechatronic systems.
LO5. Think creatively and independently about new design problems.
LO6. Appreciate the fundamental components that make up typical mechatronic systems, including sensors, actuators, electronic and computing systems.
LO7. Understand the general principles involved in computer-controlled machinery.
LO8. Demonstrate a basic understanding of system modelling and approaches to control.

"
MTRX1701,"
At the completion of this unit, you should be able to:

LO1. Analyze and formulate requirements for a mechatronic system based on a specification.
LO2. Undertake independent research and analysis and to think creatively about engineering problems.
LO3. Demonstrate a basic knowledge of the norms of professional practice and of common workshop skills - hand tool use, machining, hand soldering, CAD and microcontroller applications.
LO4. Apply a systematic approach to the design process for mechatronic systems.
LO5. Think creatively and independently about new design problems.
LO6. Appreciate the fundamental components that make up typical mechatronic systems, including sensors, actuators, electronic and computing systems.
LO7. Understand the general principles involved in computer-controlled machinery.
LO8. Demonstrate a basic understanding of system modelling and approaches to control.

"
MTRX1701,"
At the completion of this unit, you should be able to:

LO1. Analyze and formulate requirements for a mechatronic system based on a specification.
LO2. Undertake independent research and analysis and to think creatively about engineering problems.
LO3. Demonstrate a basic knowledge of the norms of professional practice and of common workshop skills - hand tool use, machining, hand soldering, CAD and microcontroller applications.
LO4. Apply a systematic approach to the design process for mechatronic systems.
LO5. Think creatively and independently about new design problems.
LO6. Appreciate the fundamental components that make up typical mechatronic systems, including sensors, actuators, electronic and computing systems.
LO7. Understand the general principles involved in computer-controlled machinery.
LO8. Demonstrate a basic understanding of system modelling and approaches to control.

"
MTRX1701,"
At the completion of this unit, you should be able to:

LO1. Analyze and formulate requirements for a mechatronic system based on a specification.
LO2. Undertake independent research and analysis and to think creatively about engineering problems.
LO3. Demonstrate a basic knowledge of the norms of professional practice and of common workshop skills - hand tool use, machining, hand soldering, CAD and microcontroller applications.
LO4. Apply a systematic approach to the design process for mechatronic systems.
LO5. Think creatively and independently about new design problems.
LO6. Appreciate the fundamental components that make up typical mechatronic systems, including sensors, actuators, electronic and computing systems.
LO7. Understand the general principles involved in computer-controlled machinery.
LO8. Demonstrate a basic understanding of system modelling and approaches to control.

"
MTRX1705,"
At the completion of this unit, you should be able to:

LO1. analyse and design combinational and sequential logic circuits from basic logic elements
LO2. analyse and design applications circuits based on operational amplifiers
LO3. read and understand manufacturers' data sheets describing digital and analog electronic circuit elements and DC motors
LO4. breadboard, test and troubleshoot practical digital and analog circuits in the laboratory using standard electronics lab instruments and tools.

"
MTRX1705,"
At the completion of this unit, you should be able to:

LO1. analyse and design combinational and sequential logic circuits from basic logic elements
LO2. analyse and design applications circuits based on operational amplifiers
LO3. read and understand manufacturers' data sheets describing digital and analog electronic circuit elements and DC motors
LO4. breadboard, test and troubleshoot practical digital and analog circuits in the laboratory using standard electronics lab instruments and tools.

"
MTRX1705,"
At the completion of this unit, you should be able to:

LO1. analyse and design combinational and sequential logic circuits from basic logic elements
LO2. analyse and design applications circuits based on operational amplifiers
LO3. read and understand manufacturers' data sheets describing digital and analog electronic circuit elements and DC motors
LO4. breadboard, test and troubleshoot practical digital and analog circuits in the laboratory using standard electronics lab instruments and tools.

"
MTRX1705,"
At the completion of this unit, you should be able to:

LO1. analyse and design combinational and sequential logic circuits from basic logic elements
LO2. analyse and design applications circuits based on operational amplifiers
LO3. read and understand manufacturers' data sheets describing digital and analog electronic circuit elements and DC motors
LO4. breadboard, test and troubleshoot practical digital and analog circuits in the laboratory using standard electronics lab instruments and tools.

"
MTRX1705,"
At the completion of this unit, you should be able to:

LO1. analyse and design combinational and sequential logic circuits from basic logic elements
LO2. analyse and design applications circuits based on operational amplifiers
LO3. read and understand manufacturers' data sheets describing digital and analog electronic circuit elements and DC motors
LO4. breadboard, test and troubleshoot practical digital and analog circuits in the laboratory using standard electronics lab instruments and tools.

"
