revenue,potential_revenue,pl_inventory_percentage
1279.08,1279.08,0.0
1202.86,1202.86,0.0
1103.26,1103.26,0.0
327.07,327.07,0.0
885.43,885.43,0.0
870.88,870.88,0.0
318.51,318.51,0.0
721.17,721.17,0.0
645.78,645.78,0.0
0.0,0.0,0.0
535.84,535.84,0.0
542.58,542.58,0.0
314.57,314.57,0.0
586.75,586.75,0.0
1115.83,1115.83,0.0
0.0,0.0,0.0
640.44,640.44,0.0
898.63,898.63,0.0
1116.44,1116.44,0.0
214.48,214.48,0.0
119.27,119.27,0.0
464.86,464.86,0.0
533.96,533.96,0.0
740.43,740.43,0.0
613.8,613.8,0.0
0.0,0.0,0.0
707.14,707.14,0.0
447.28,447.28,0.0
513.17,513.17,0.0
945.16,945.16,0.0
956.82,956.82,0.0
540.27,540.27,0.0
205.49,205.49,0.0
0.0,0.0,0.0
1019.18,1019.18,0.0
0.0,0.0,0.0
851.77,851.77,0.0
1143.6,1143.6,0.0
637.25,637.25,0.0
1225.79,1225.79,0.0
980.78,980.78,0.0
1334.76,1334.76,0.0
325.32,325.32,0.0
272.62,272.62,0.0
0.0,0.0,0.0
341.98,341.98,0.0
313.37,313.37,0.0
233.35,233.35,0.0
731.38,731.38,0.0
111.8,111.8,0.0
273.84,273.84,0.0
1043.05,1043.05,0.0
1153.98,1153.98,0.0
1015.25,1015.25,0.0
473.11,473.11,0.0
656.39,656.39,0.0
1214.63,1214.63,0.0
725.88,725.88,0.0
769.15,769.15,0.0
354.52,354.52,0.0
555.0,555.0,0.0
166.49,166.49,0.0
191.65,191.65,0.0
79.44,79.44,0.0
1032.69,1032.69,0.0
433.18,433.18,0.0
692.66,692.66,0.0
196.0,196.0,0.0
215.53,215.53,0.0
1122.03,1122.03,0.0
811.17,811.17,0.0
375.46,375.46,0.0
168.09,168.09,0.0
174.64,174.64,0.0
295.75,295.75,0.0
724.73,724.73,0.0
271.92,271.92,0.0
385.52,385.52,0.0
689.15,689.15,0.0
748.38,748.38,0.0
823.58,823.58,0.0
205.58,205.58,0.0
424.87,424.87,0.0
361.52,361.52,0.0
578.62,578.62,0.0
770.22,770.22,0.0
180.56,180.56,0.0
575.94,575.94,0.0
749.97,749.97,0.0
0.0,0.0,0.0
1031.32,1031.32,0.0
1048.04,1048.04,0.0
982.85,982.85,0.0
943.64,943.64,0.0
37.63,37.63,0.0
614.94,614.94,0.0
110.08,110.08,0.0
166.66,166.66,0.0
283.03,283.03,0.0
81.14,81.14,0.0
845.19,845.19,0.0
924.39,924.39,0.0
1152.13,1152.13,0.0
1376.84,1376.84,0.0
239.86,239.86,0.0
234.21,234.21,0.0
80.8,80.8,0.0
443.47,443.47,0.0
398.72,398.72,0.0
0.0,0.0,0.0
408.24,408.24,0.0
489.61,489.61,0.0
8.0,8.0,0.0
348.47,348.47,0.0
0.0,0.0,0.0
565.06,565.06,0.0
1101.03,1101.03,0.0
941.55,941.55,0.0
1493.0,1493.0,0.0
584.74,584.74,0.0
900.93,900.93,0.0
795.37,795.37,0.0
224.19,224.19,0.0
1406.9,1406.9,0.0
572.31,572.31,0.0
322.03,322.03,0.0
1278.76,1278.76,0.0
0.0,0.0,0.0
476.74,476.74,0.0
1172.85,1172.85,0.0
660.35,660.35,0.0
131.18,131.18,0.0
194.73,194.73,0.0
723.32,723.32,0.0
373.06,373.06,0.0
1115.98,1115.98,0.0
778.3,778.3,0.0
239.86,239.86,0.0
68.38,68.38,0.0
131.02,131.02,0.0
565.67,565.67,0.0
203.42,203.42,0.0
658.82,658.82,0.0
898.24,898.24,0.0
223.33,223.33,0.0
858.76,858.76,0.0
305.47,305.47,0.0
0.0,0.0,0.0
641.47,641.47,0.0
1113.73,1113.73,0.0
862.6,862.6,0.0
344.33,344.33,0.0
113.33,113.33,0.0
26.71,26.71,0.0
1199.74,1199.74,0.0
267.86,267.86,0.0
1206.13,1206.13,0.0
957.27,957.27,0.0
319.79,319.79,0.0
799.71,799.71,0.0
550.93,550.93,0.0
398.64,398.64,0.0
1057.42,1057.42,0.0
1227.83,1227.83,0.0
632.83,632.83,0.0
815.44,815.44,0.0
122.4,122.4,0.0
681.7,681.7,0.0
315.18,315.18,0.0
867.15,867.15,0.0
492.22,492.22,0.0
201.89,201.89,0.0
683.91,683.91,0.0
367.29,367.29,0.0
53.43,53.43,0.0
217.45,217.45,0.0
0.0,0.0,0.0
1.5,1.5,0.0
589.99,589.99,0.0
392.04,392.04,0.0
1030.81,1030.81,0.0
879.31,879.31,0.0
68.47,68.47,0.0
542.72,542.72,0.0
477.82,477.82,0.0
1026.68,1026.68,0.0
362.09,362.09,0.0
530.58,530.58,0.0
265.61,265.61,0.0
1073.92,1073.92,0.0
1135.19,1135.19,0.0
842.91,842.91,0.0
827.0,827.0,0.0
1063.36,1063.36,0.0
671.05,671.05,0.0
1037.14,1037.14,0.0
646.66,646.66,0.0
872.11,872.11,0.0
793.13,793.13,0.0
597.71,597.71,0.0
213.96,213.96,0.0
661.98,661.98,0.0
702.27,702.27,0.0
612.43,612.43,0.0
597.39,597.39,0.0
160.51,160.51,0.0
513.28,513.28,0.0
1098.35,1098.35,0.0
985.09,985.09,0.0
589.15,589.15,0.0
78.05,78.05,0.0
530.46,530.46,0.0
30.52,30.52,0.0
21.87,21.87,0.0
560.11,560.11,0.0
129.36,129.36,0.0
1060.08,1060.08,0.0
823.91,823.91,0.0
690.67,690.67,0.0
935.97,935.97,0.0
479.31,479.31,0.0
216.73,216.73,0.0
590.14,590.14,0.0
54.68,54.68,0.0
39.22,39.22,0.0
258.98,258.98,0.0
1010.53,1010.53,0.0
700.21,700.21,0.0
803.16,803.16,0.0
584.93,584.93,0.0
691.53,691.53,0.0
496.27,496.27,0.0
761.59,761.59,0.0
871.24,871.24,0.0
271.09,271.09,0.0
736.07,736.07,0.0
805.85,805.85,0.0
514.12,514.12,0.0
183.92,183.92,0.0
53.43,53.43,0.0
850.82,850.82,0.0
422.37,422.37,0.0
260.98,260.98,0.0
435.83,435.83,0.0
45.14,45.14,0.0
159.6,159.6,0.0
493.01,493.01,0.0
81.43,81.43,0.0
264.47,264.47,0.0
470.82,470.82,0.0
464.63,464.63,0.0
1028.0,1028.0,0.0
982.3,982.3,0.0
265.64,265.64,0.0
1201.22,1201.22,0.0
587.15,587.15,0.0
474.99,474.99,0.0
617.92,617.92,0.0
275.13,275.13,0.0
551.63,551.63,0.0
634.44,634.44,0.0
231.72,231.72,0.0
146.43,146.43,0.0
735.15,735.15,0.0
930.03,930.03,0.0
1060.51,1060.51,0.0
843.9,843.9,0.0
253.15,253.15,0.0
273.16,273.16,0.0
807.83,807.83,0.0
842.25,842.25,0.0
810.77,810.77,0.0
520.58,520.58,0.0
184.69,184.69,0.0
248.14,248.14,0.0
907.65,907.65,0.0
335.85,335.85,0.0
105.99,105.99,0.0
533.88,533.88,0.0
344.47,344.47,0.0
285.57,285.57,0.0
980.43,980.43,0.0
445.27,445.27,0.0
51.03,51.03,0.0
186.52,186.52,0.0
146.22,146.22,0.0
1216.62,1216.62,0.0
549.09,549.09,0.0
584.85,584.85,0.0
674.67,674.67,0.0
562.82,562.82,0.0
1027.47,1027.47,0.0
1050.97,1050.97,0.0
471.38,471.38,0.0
1128.85,1128.85,0.0
195.39,195.39,0.0
770.71,770.71,0.0
861.32,861.32,0.0
133.54,133.54,0.0
0.0,0.0,0.0
261.25,261.25,0.0
1299.09,1299.09,0.0
572.89,572.89,0.0
353.37,353.37,0.0
78.71,78.71,0.0
647.77,647.77,0.0
945.27,945.27,0.0
981.45,981.45,0.0
0.0,0.0,0.0
417.57,417.57,0.0
807.74,807.74,0.0
542.33,542.33,0.0
90.07,90.07,0.0
1076.83,1076.83,0.0
684.32,684.32,0.0
957.12,957.12,0.0
610.93,610.93,0.0
515.47,515.47,0.0
701.29,701.29,0.0
1099.88,1099.88,0.0
1197.36,1197.36,0.0
641.78,641.78,0.0
67.21,67.21,0.0
105.95,105.95,0.0
382.17,382.17,0.0
1000.53,1000.53,0.0
618.3,618.3,0.0
905.23,905.23,0.0
1019.28,1019.28,0.0
113.54,113.54,0.0
63.89,63.89,0.0
47.59,47.59,0.0
792.4,792.4,0.0
611.91,611.91,0.0
458.07,458.07,0.0
866.92,866.92,0.0
601.04,601.04,0.0
185.58,185.58,0.0
1007.5,1007.5,0.0
415.38,415.38,0.0
174.73,174.73,0.0
866.54,866.54,0.0
876.44,876.44,0.0
1051.3,1051.3,0.0
605.1,605.1,0.0
651.67,651.67,0.0
0.0,0.0,0.0
0.0,0.0,0.0
376.81,376.81,0.0
614.51,614.51,0.0
634.75,634.75,0.0
475.75,475.75,0.0
661.19,661.19,0.0
520.3,520.3,0.0
681.93,681.93,0.0
261.99,261.99,0.0
1037.45,1037.45,0.0
1128.88,1128.88,0.0
458.63,458.63,0.0
237.05,237.05,0.0
80.42,80.42,0.0
956.22,956.22,0.0
1061.93,1061.93,0.0
1048.5,1048.5,0.0
344.06,344.06,0.0
622.78,622.78,0.0
864.04,864.04,0.0
541.94,541.94,0.0
1110.41,1110.41,0.0
634.78,634.78,0.0
430.22,430.22,0.0
982.74,982.74,0.0
607.94,607.94,0.0
559.78,559.78,0.0
299.41,299.41,0.0
392.22,392.22,0.0
54.93,54.93,0.0
159.4,159.4,0.0
261.81,261.81,0.0
617.87,617.87,0.0
646.95,646.95,0.0
0.0,0.0,0.0
543.5,543.5,0.0
1139.73,1139.73,0.0
1054.46,1054.46,0.0
536.55,536.55,0.0
521.01,521.01,0.0
495.16,495.16,0.0
1275.43,1275.43,0.0
797.93,797.93,0.0
594.75,594.75,0.0
249.84,249.84,0.0
1028.48,1028.48,0.0
618.07,618.07,0.0
1085.56,1085.56,0.0
806.38,806.38,0.0
489.12,489.12,0.0
927.69,927.69,0.0
296.71,296.71,0.0
569.19,569.19,0.0
662.47,662.47,0.0
