name,inventory,price,price_correspondance,collection,item_url
"HALEEM MIX, AHMED",-99,$4.75,'/products/haleem-mix-ahmed',ahmed,https://www.ajijo.com.au/collections/ahmed/products/haleem-mix-ahmed
"FRUIT CHAT MASALA, AHMED, 50G",8,$1.80,'/products/fruit-chat-masala-ahmed',ahmed,https://www.ajijo.com.au/collections/ahmed/products/fruit-chat-masala-ahmed
"DAHI BARA MASALA, AHMED, 50G",8,$1.80,'/products/dahi-bara-masala-ahmed',ahmed,https://www.ajijo.com.au/collections/ahmed/products/dahi-bara-masala-ahmed
"CHICKEN MASALA, AHMED, 50G",1,$1.80,'/products/chicken-masala-ahmed',ahmed,https://www.ajijo.com.au/collections/ahmed/products/chicken-masala-ahmed
"CHANA MASALA, AHMED, 50G",1,$1.80,'/products/chana-masala-ahmed',ahmed,https://www.ajijo.com.au/collections/ahmed/products/chana-masala-ahmed
"BAKE & COOKING PAPER, GLAD, 10 MTRS X 30 CMS",10,$3.99,'/products/bake-cooking-paper-glad-10-mtrs-x-30-cms',aluminium-foils-wraps,https://www.ajijo.com.au/collections/aluminium-foils-wraps/products/bake-cooking-paper-glad-10-mtrs-x-30-cms
GLAD FOIL 10M,-99,$3.85,'/products/glad-foil-10m',aluminium-foils-wraps,https://www.ajijo.com.au/collections/aluminium-foils-wraps/products/glad-foil-10m
"ALUMINIUM FOIL, 60M X 33CM, B&G",5,$3.50,'/products/aluminium-foil-10m-b-g',aluminium-foils-wraps,https://www.ajijo.com.au/collections/aluminium-foils-wraps/products/aluminium-foil-10m-b-g
"ARBORIO RICE, COMMUNITY CO., 1 KG",8,$3.99,'/products/arborio-rice',arborio-rice,https://www.ajijo.com.au/collections/arborio-rice/products/arborio-rice
"KALIJEERA AROMATIC RICE, BANOFUL, 1KG",9,$4.75,'/products/kalijeera-aromatic-rice-banoful-1kg',aromatic-rice,https://www.ajijo.com.au/collections/aromatic-rice/products/kalijeera-aromatic-rice-banoful-1kg
"CHINIGURA AROMATIC RICE, BANOFUL, 1KG",10,$4.75,'/products/chinigura-rice-banoful-1kg',aromatic-rice,https://www.ajijo.com.au/collections/aromatic-rice/products/chinigura-rice-banoful-1kg
