day_no,total_customers,store_customers,store_name,revenue_actual,revenue_potential,pl_perc,num_disappointed,disappointment%
1,34,13,ajijo,15.9,15.9,0.0,11,84.62
1,34,21,bharat,899.03,899.03,0.0,0,0.0
2,8,2,ajijo,0.0,0.0,0.0,2,100.0
2,8,6,bharat,303.0,303.0,0.0,0,0.0
3,19,8,ajijo,0.0,0.0,0.0,8,100.0
3,19,11,bharat,473.42,473.42,0.0,0,0.0
4,25,9,ajijo,0.0,0.0,0.0,9,100.0
4,25,16,bharat,596.94,596.94,0.0,0,0.0
5,46,13,ajijo,0.0,0.0,0.0,13,100.0
5,46,33,bharat,1282.06,1282.06,0.0,0,0.0
6,29,9,ajijo,9.45,9.45,0.0,7,77.78
6,29,20,bharat,833.91,833.91,0.0,0,0.0
7,49,14,ajijo,67.02,67.02,0.0,12,85.71
7,49,35,bharat,1323.38,1323.38,0.0,0,0.0
8,33,11,ajijo,0.0,0.0,0.0,11,100.0
8,33,22,bharat,711.38,711.38,0.0,0,0.0
9,46,15,ajijo,46.18,46.18,0.0,14,93.33
9,46,31,bharat,1313.37,1313.37,0.0,0,0.0
10,45,13,ajijo,14.17,14.17,0.0,11,84.62
10,45,32,bharat,1375.7,1375.7,0.0,0,0.0
11,5,1,ajijo,0.0,0.0,0.0,1,100.0
11,5,4,bharat,107.48,107.48,0.0,0,0.0
12,35,14,ajijo,18.49,18.49,0.0,13,92.86
12,35,21,bharat,955.97,955.97,0.0,0,0.0
13,13,3,ajijo,0.0,0.0,0.0,3,100.0
13,13,10,bharat,413.53,413.53,0.0,0,0.0
14,2,0,ajijo,0.0,0.0,0.0,0,
14,2,2,bharat,77.04,77.04,0.0,0,0.0
15,11,3,ajijo,0.0,0.0,0.0,3,100.0
15,11,8,bharat,303.55,303.55,0.0,0,0.0
16,38,12,ajijo,30.99,30.99,0.0,11,91.67
16,38,26,bharat,1263.32,1263.32,0.0,0,0.0
17,40,13,ajijo,17.99,17.99,0.0,12,92.31
17,40,27,bharat,1132.08,1132.08,0.0,0,0.0
18,21,5,ajijo,0.0,0.0,0.0,5,100.0
18,21,16,bharat,479.78,479.78,0.0,0,0.0
19,18,6,ajijo,7.0,7.0,0.0,5,83.33
19,18,12,bharat,506.77,506.77,0.0,0,0.0
20,28,8,ajijo,18.63,18.63,0.0,6,75.0
20,28,20,bharat,784.49,784.49,0.0,0,0.0
21,25,10,ajijo,9.6,9.6,0.0,9,90.0
21,25,15,bharat,491.45,491.45,0.0,0,0.0
22,18,3,ajijo,0.0,0.0,0.0,3,100.0
22,18,15,bharat,552.7,552.7,0.0,0,0.0
23,4,1,ajijo,0.0,0.0,0.0,1,100.0
23,4,3,bharat,67.34,67.34,0.0,0,0.0
24,7,3,ajijo,0.0,0.0,0.0,3,100.0
24,7,4,bharat,158.98,158.98,0.0,0,0.0
25,44,8,ajijo,10.98,10.98,0.0,7,87.5
25,44,36,bharat,1451.46,1451.46,0.0,0,0.0
26,1,0,ajijo,0.0,0.0,0.0,0,
26,1,1,bharat,22.38,22.38,0.0,0,0.0
27,16,3,ajijo,15.5,15.5,0.0,2,66.67
27,16,13,bharat,472.03,472.03,0.0,0,0.0
28,33,4,ajijo,5.95,5.95,0.0,3,75.0
28,33,29,bharat,1208.73,1208.73,0.0,0,0.0
29,24,8,ajijo,0.0,0.0,0.0,8,100.0
29,24,16,bharat,730.11,730.11,0.0,0,0.0
30,28,9,ajijo,3.99,3.99,0.0,8,88.89
30,28,19,bharat,665.18,665.18,0.0,0,0.0
31,7,1,ajijo,0.0,0.0,0.0,1,100.0
31,7,6,bharat,251.62,251.62,0.0,0,0.0
32,26,6,ajijo,0.0,0.0,0.0,6,100.0
32,26,20,bharat,864.46,864.46,0.0,0,0.0
33,44,13,ajijo,33.99,33.99,0.0,10,76.92
33,44,31,bharat,1199.57,1199.57,0.0,0,0.0
34,11,3,ajijo,27.57,27.57,0.0,2,66.67
34,11,8,bharat,269.37,269.37,0.0,0,0.0
35,28,6,ajijo,28.39,28.39,0.0,4,66.67
35,28,22,bharat,1001.73,1001.73,0.0,0,0.0
36,45,15,ajijo,0.0,0.0,0.0,15,100.0
36,45,30,bharat,1720.99,1720.99,0.0,0,0.0
37,15,6,ajijo,0.0,0.0,0.0,6,100.0
37,15,9,bharat,253.54,253.54,0.0,0,0.0
38,8,3,ajijo,4.6,4.6,0.0,2,66.67
38,8,5,bharat,326.03,326.03,0.0,0,0.0
39,16,4,ajijo,6.5,6.5,0.0,3,75.0
39,16,12,bharat,466.01,466.01,0.0,0,0.0
40,1,0,ajijo,0.0,0.0,0.0,0,
40,1,1,bharat,58.97,58.97,0.0,0,0.0
41,41,18,ajijo,21.55,21.55,0.0,15,83.33
41,41,23,bharat,904.99,904.99,0.0,0,0.0
42,49,17,ajijo,68.21,68.21,0.0,14,82.35
42,49,32,bharat,1479.68,1479.68,0.0,0,0.0
43,28,9,ajijo,17.99,17.99,0.0,8,88.89
43,28,19,bharat,983.37,983.37,0.0,0,0.0
44,32,8,ajijo,0.0,0.0,0.0,8,100.0
44,32,24,bharat,983.78,983.78,0.0,0,0.0
45,6,2,ajijo,0.0,0.0,0.0,2,100.0
45,6,4,bharat,159.79,159.79,0.0,0,0.0
46,8,3,ajijo,0.0,0.0,0.0,3,100.0
46,8,5,bharat,185.25,185.25,0.0,0,0.0
47,36,15,ajijo,55.48,55.48,0.0,12,80.0
47,36,21,bharat,842.19,842.19,0.0,0,0.0
48,2,0,ajijo,0.0,0.0,0.0,0,
48,2,2,bharat,105.34,105.34,0.0,0,0.0
49,49,16,ajijo,20.49,20.49,0.0,13,81.25
49,49,33,bharat,1217.38,1217.38,0.0,0,0.0
50,4,2,ajijo,0.0,0.0,0.0,2,100.0
50,4,2,bharat,106.36,106.36,0.0,0,0.0
51,9,3,ajijo,0.0,0.0,0.0,3,100.0
51,9,6,bharat,214.51,214.51,0.0,0,0.0
52,24,13,ajijo,60.93,60.93,0.0,10,76.92
52,24,11,bharat,416.51,416.51,0.0,0,0.0
53,18,7,ajijo,0.0,0.0,0.0,7,100.0
53,18,11,bharat,241.24,241.24,0.0,0,0.0
54,5,3,ajijo,61.25,61.25,0.0,0,0.0
54,5,2,bharat,67.99,67.99,0.0,0,0.0
55,9,2,ajijo,7.99,7.99,0.0,1,50.0
55,9,7,bharat,411.35,411.35,0.0,0,0.0
56,33,12,ajijo,32.89,32.89,0.0,9,75.0
56,33,21,bharat,814.06,814.06,0.0,0,0.0
57,15,4,ajijo,0.0,0.0,0.0,4,100.0
57,15,11,bharat,369.35,369.35,0.0,0,0.0
58,20,7,ajijo,0.0,0.0,0.0,7,100.0
58,20,13,bharat,403.51,403.51,0.0,0,0.0
59,26,4,ajijo,0.0,0.0,0.0,4,100.0
59,26,22,bharat,903.67,903.67,0.0,0,0.0
60,27,11,ajijo,7.24,7.24,0.0,10,90.91
60,27,16,bharat,846.59,846.59,0.0,0,0.0
61,39,9,ajijo,98.77,98.77,0.0,6,66.67
61,39,30,bharat,1087.06,1087.06,0.0,0,0.0
62,18,5,ajijo,15.14,15.14,0.0,4,80.0
62,18,13,bharat,684.29,684.29,0.0,0,0.0
63,44,12,ajijo,17.99,17.99,0.0,11,91.67
63,44,32,bharat,1302.91,1302.91,0.0,0,0.0
64,19,5,ajijo,62.36,62.36,0.0,3,60.0
64,19,14,bharat,545.74,545.74,0.0,0,0.0
65,49,11,ajijo,18.99,18.99,0.0,9,81.82
65,49,38,bharat,1696.67,1696.67,0.0,0,0.0
66,11,3,ajijo,0.0,0.0,0.0,3,100.0
66,11,8,bharat,368.44,368.44,0.0,0,0.0
67,48,20,ajijo,10.09,10.09,0.0,18,90.0
67,48,28,bharat,1142.43,1142.43,0.0,0,0.0
68,47,16,ajijo,33.41,33.41,0.0,13,81.25
68,47,31,bharat,1578.37,1578.37,0.0,0,0.0
69,33,8,ajijo,23.25,23.25,0.0,7,87.5
69,33,25,bharat,937.43,937.43,0.0,0,0.0
70,45,15,ajijo,0.0,0.0,0.0,15,100.0
70,45,30,bharat,1408.93,1408.93,0.0,0,0.0
71,41,15,ajijo,3.99,3.99,0.0,14,93.33
71,41,26,bharat,1098.23,1098.23,0.0,0,0.0
72,9,2,ajijo,0.0,0.0,0.0,2,100.0
72,9,7,bharat,276.85,276.85,0.0,0,0.0
73,5,2,ajijo,0.0,0.0,0.0,2,100.0
73,5,3,bharat,205.24,205.24,0.0,0,0.0
74,34,7,ajijo,9.99,9.99,0.0,6,85.71
74,34,27,bharat,1024.23,1024.23,0.0,0,0.0
75,2,0,ajijo,0.0,0.0,0.0,0,
75,2,2,bharat,54.83,54.83,0.0,0,0.0
76,32,7,ajijo,3.99,3.99,0.0,6,85.71
76,32,25,bharat,1017.83,1017.83,0.0,0,0.0
77,42,9,ajijo,64.01,64.01,0.0,7,77.78
77,42,33,bharat,1494.05,1494.05,0.0,0,0.0
78,12,6,ajijo,47.93,47.93,0.0,5,83.33
78,12,6,bharat,310.82,310.82,0.0,0,0.0
79,35,8,ajijo,0.0,0.0,0.0,8,100.0
79,35,27,bharat,1100.39,1100.39,0.0,0,0.0
80,9,7,ajijo,17.7,17.7,0.0,6,85.71
80,9,2,bharat,24.29,24.29,0.0,0,0.0
81,20,5,ajijo,0.0,0.0,0.0,5,100.0
81,20,15,bharat,545.96,545.96,0.0,0,0.0
82,33,9,ajijo,2.99,2.99,0.0,8,88.89
82,33,24,bharat,1130.62,1130.62,0.0,0,0.0
83,21,7,ajijo,94.98,94.98,0.0,4,57.14
83,21,14,bharat,621.3,621.3,0.0,0,0.0
84,19,6,ajijo,7.99,7.99,0.0,5,83.33
84,19,13,bharat,537.7,537.7,0.0,0,0.0
85,46,16,ajijo,17.88,17.88,0.0,15,93.75
85,46,30,bharat,1257.73,1257.73,0.0,0,0.0
86,9,2,ajijo,0.0,0.0,0.0,2,100.0
86,9,7,bharat,252.19,252.19,0.0,0,0.0
87,39,12,ajijo,0.0,0.0,0.0,12,100.0
87,39,27,bharat,991.56,991.56,0.0,0,0.0
88,40,17,ajijo,17.73,17.73,0.0,13,76.47
88,40,23,bharat,861.15,861.15,0.0,0,0.0
89,35,11,ajijo,60.97,60.97,0.0,7,63.64
89,35,24,bharat,1100.27,1100.27,0.0,0,0.0
90,32,9,ajijo,2.25,2.25,0.0,8,88.89
90,32,23,bharat,766.67,766.67,0.0,0,0.0
91,37,14,ajijo,8.25,8.25,0.0,13,92.86
91,37,23,bharat,914.27,914.27,0.0,0,0.0
92,5,2,ajijo,0.0,0.0,0.0,2,100.0
92,5,3,bharat,149.87,149.87,0.0,0,0.0
93,29,7,ajijo,0.0,0.0,0.0,7,100.0
93,29,22,bharat,1027.51,1027.51,0.0,0,0.0
94,14,6,ajijo,0.0,0.0,0.0,6,100.0
94,14,8,bharat,335.37,335.37,0.0,0,0.0
95,2,1,ajijo,0.0,0.0,0.0,1,100.0
95,2,1,bharat,25.71,25.71,0.0,0,0.0
96,27,12,ajijo,52.43,52.43,0.0,10,83.33
96,27,15,bharat,443.17,443.17,0.0,0,0.0
97,22,4,ajijo,28.49,28.49,0.0,3,75.0
97,22,18,bharat,606.3,606.3,0.0,0,0.0
98,21,8,ajijo,4.99,4.99,0.0,7,87.5
98,21,13,bharat,614.59,614.59,0.0,0,0.0
99,43,10,ajijo,28.45,28.45,0.0,9,90.0
99,43,33,bharat,1231.67,1231.67,0.0,0,0.0
100,18,3,ajijo,36.44,36.44,0.0,1,33.33
100,18,15,bharat,532.17,532.17,0.0,0,0.0
101,48,11,ajijo,54.87,54.87,0.0,7,63.64
101,48,37,bharat,1727.34,1727.34,0.0,0,0.0
102,18,5,ajijo,0.0,0.0,0.0,5,100.0
102,18,13,bharat,475.13,475.13,0.0,0,0.0
103,5,0,ajijo,0.0,0.0,0.0,0,
103,5,5,bharat,190.0,190.0,0.0,0,0.0
104,11,3,ajijo,0.0,0.0,0.0,3,100.0
104,11,8,bharat,354.48,354.48,0.0,0,0.0
105,47,13,ajijo,70.31,70.31,0.0,11,84.62
105,47,34,bharat,1509.12,1509.12,0.0,0,0.0
106,40,14,ajijo,30.93,30.93,0.0,12,85.71
106,40,26,bharat,1237.85,1237.85,0.0,0,0.0
107,36,11,ajijo,44.88,44.88,0.0,10,90.91
107,36,25,bharat,979.4,979.4,0.0,0,0.0
108,22,8,ajijo,7.4,7.4,0.0,7,87.5
108,22,14,bharat,660.29,660.29,0.0,0,0.0
109,4,1,ajijo,0.0,0.0,0.0,1,100.0
109,4,3,bharat,178.93,178.93,0.0,0,0.0
110,36,10,ajijo,11.99,11.99,0.0,9,90.0
110,36,26,bharat,1075.27,1075.27,0.0,0,0.0
111,18,5,ajijo,0.0,0.0,0.0,5,100.0
111,18,13,bharat,509.59,509.59,0.0,0,0.0
112,7,1,ajijo,10.74,10.74,0.0,0,0.0
112,7,6,bharat,345.09,345.09,0.0,0,0.0
113,41,16,ajijo,48.69,48.69,0.0,13,81.25
113,41,25,bharat,1086.57,1086.57,0.0,0,0.0
114,2,0,ajijo,0.0,0.0,0.0,0,
114,2,2,bharat,126.87,126.87,0.0,0,0.0
115,40,14,ajijo,3.95,3.95,0.0,13,92.86
115,40,26,bharat,893.21,893.21,0.0,0,0.0
116,37,17,ajijo,11.24,11.24,0.0,15,88.24
116,37,20,bharat,762.71,762.71,0.0,0,0.0
117,9,2,ajijo,0.0,0.0,0.0,2,100.0
117,9,7,bharat,141.62,141.62,0.0,0,0.0
118,6,2,ajijo,0.0,0.0,0.0,2,100.0
118,6,4,bharat,69.33,69.33,0.0,0,0.0
119,38,9,ajijo,3.0,3.0,0.0,8,88.89
119,38,29,bharat,1306.92,1306.92,0.0,0,0.0
120,28,13,ajijo,22.5,22.5,0.0,12,92.31
120,28,15,bharat,624.62,624.62,0.0,0,0.0
121,30,10,ajijo,12.14,12.14,0.0,8,80.0
121,30,20,bharat,813.71,813.71,0.0,0,0.0
122,48,12,ajijo,14.44,14.44,0.0,10,83.33
122,48,36,bharat,1314.19,1314.19,0.0,0,0.0
123,22,7,ajijo,37.68,37.68,0.0,5,71.43
123,22,15,bharat,699.06,699.06,0.0,0,0.0
124,24,5,ajijo,0.0,0.0,0.0,5,100.0
124,24,19,bharat,478.14,478.14,0.0,0,0.0
125,11,7,ajijo,0.0,0.0,0.0,7,100.0
125,11,4,bharat,208.95,208.95,0.0,0,0.0
126,1,0,ajijo,0.0,0.0,0.0,0,
126,1,1,bharat,56.83,56.83,0.0,0,0.0
127,17,3,ajijo,58.19,58.19,0.0,2,66.67
127,17,14,bharat,629.89,629.89,0.0,0,0.0
128,24,6,ajijo,0.0,0.0,0.0,6,100.0
128,24,18,bharat,918.19,918.19,0.0,0,0.0
