name,price_correspondance,collection,price
"HALEEM MIX, AHMED",'/products/haleem-mix-ahmed',ahmed,$4.75
"FRUIT CHAT MASALA, AHMED, 50G",'/products/fruit-chat-masala-ahmed',ahmed,$1.80
"DAHI BARA MASALA, AHMED, 50G",'/products/dahi-bara-masala-ahmed',ahmed,$1.80
"CHICKEN MASALA, AHMED, 50G",'/products/chicken-masala-ahmed',ahmed,$1.80
"CHANA MASALA, AHMED, 50G",'/products/chana-masala-ahmed',ahmed,$1.80
"BAKE & COOKING PAPER, GLAD, 10 MTRS X 30 CMS",'/products/bake-cooking-paper-glad-10-mtrs-x-30-cms',aluminium-foils-wraps,$3.99
GLAD FOIL 10M,'/products/glad-foil-10m',aluminium-foils-wraps,$3.85
"ALUMINIUM FOIL, 60M X 33CM, B&G",'/products/aluminium-foil-10m-b-g',aluminium-foils-wraps,$3.50
"ARBORIO RICE, COMMUNITY CO., 1 KG",'/products/arborio-rice',arborio-rice,$3.99
"KALIJEERA AROMATIC RICE, BANOFUL, 1KG",'/products/kalijeera-aromatic-rice-banoful-1kg',aromatic-rice,$4.75
"CHINIGURA AROMATIC RICE, BANOFUL, 1KG",'/products/chinigura-rice-banoful-1kg',aromatic-rice,$4.75
KALIJEERA AROMATIC RICE 2KG,'/products/kalijeera-aromatic-rice-2kg',aromatic-rice,$6.99
CHINIGURA RICE PRAN 1KG,'/products/chinigura-rice-pran-1kg',aromatic-rice,$4.25
"SHISHU CARE TALC POWDER, PTANJALI, 100G",'/products/shishu-care-talc-powder-ptanjali-100g',balm-cream-spray,$5.99
VICKS,'/products/vicks',balm-cream-spray,$4.75
MOOV SPRAY,'/products/moov-spray',balm-cream-spray,$4.25
KRACK CREAM,'/products/krack-cream',balm-cream-spray,$4.25
ITCH GUARD 25G,'/products/itch-guard-25g',balm-cream-spray,$3.95
ITCH GUARD,'/products/itch-guard',balm-cream-spray,$3.95
IODEX,'/products/iodex',balm-cream-spray,$3.95
BOROLINE,'/products/boroline',balm-cream-spray,$2.75
ZANDU ULTRA POWER 8ML,'/products/zandu-ultra-power-8ml',balm-cream-spray,$3.45
Indya Yellow Banana Chips 400g,'/products/yellow-banana-wafers-indya-400g',banana-chips,$5.00
Sabrini Yellow Banana Chips 500g,'/products/yellow-banana-chipa-500g-sabrini',banana-chips,$6.99
Sabrini Black Pepper Banana chips 500g,'/products/black-pepper-banana-chips-500g-sabrini',banana-chips,$6.50
MALABAR TREATS BANANA PEPPER CHIPS 200G,'/products/banana-pepper-chips-200g-malabar-treats',banana-chips,$3.75
INSTANT DELIGHT YELLOW BANANA CHIPS 400G,'/products/banana-chips-400g-id',banana-chips,$6.99
INSTANT DELIGHT BANANA CHIPS 400G,'/products/banana-chips-200g-id',banana-chips,$6.99
MALABAR TREATS BANANA CHILLY CHIPS 454G,'/products/banana-chilly-chips-454g-malabar-treats',banana-chips,$6.95
"BASMATI RICE, DEVAAYA 10 KG",'/products/devaaya-basmati-rice-10-kg',basmati-rice,$27.99
"Basmati Rice, Feast Rozzana, India Gate, 5kg",'/products/basmati-rice-india-gate-everyday-5kg',basmati-rice,$14.50
"SMALL SHELLS PASTA, SAN REMO, 500 G",'/products/small-shells-pasta-san-remo-500-g',basmati-rice,$3.50
"INSTANT SPAGHETTI, SAN REMO, 500 G",'/products/instant-spaghetti-san-remo-500-g',basmati-rice,$3.50
"PENNE PASTA ( FAMILY PACK), SAN REMO, 750 G",'/products/penne-pasta-family-pack-san-remo-750-g',basmati-rice,$4.50
"MACARONI , SAN REMO, 500 G",'/products/macaroni-san-remo-500-g',basmati-rice,$3.50
"ELBOW PASTA, SAN REMO, 500 G",'/products/elbow-pasta-san-remo-500-g',basmati-rice,$3.50
"ANGEL HAIR SPAGHETTI, SAN REMO, 500 G",'/products/angel-hair-spaghetti-san-remo-500-g',basmati-rice,$3.50
"IDLI/DOSA RICE, KOTTACKAL MAYIL, 5 KG",'/products/idli-dosa-rice-kottackal-mayil-5-kg',basmati-rice,$12.50
"MATTA RICE, KOTTACKAL, 10 KG",'/products/copy-of-matta-rice-kottackal-mayil-10-kg',basmati-rice?page=2,$23.99
"Basmati rice, Extra Long Grain, Miller 5kg",'/products/basmati-rice-miller-5kg',basmati-rice?page=2,$20.99
"Basmati Rice, India Today,1kg",'/products/rice-1kg-india-today',basmati-rice?page=2,$4.99
