,inventory,item_url
0,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/ahmed/products/haleem-mix-ahmed
1,"
Inventory policy :

                
                8
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/ahmed/products/fruit-chat-masala-ahmed
2,"
Inventory policy :

                
                8
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/ahmed/products/dahi-bara-masala-ahmed
3,"
Inventory policy :

                
                1
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/ahmed/products/chicken-masala-ahmed
4,"
Inventory policy :

                
                1
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/ahmed/products/chana-masala-ahmed
5,"
Inventory policy :

                
                10
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/aluminium-foils-wraps/products/bake-cooking-paper-glad-10-mtrs-x-30-cms
6,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/aluminium-foils-wraps/products/glad-foil-10m
7,"
Inventory policy :

                
                5
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/aluminium-foils-wraps/products/aluminium-foil-10m-b-g
8,"
Inventory policy :

                
                8
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/arborio-rice/products/arborio-rice
9,"
Inventory policy :

                
                9
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/aromatic-rice/products/kalijeera-aromatic-rice-banoful-1kg
10,"
Inventory policy :

                
                10
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/aromatic-rice/products/chinigura-rice-banoful-1kg
11,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/aromatic-rice/products/kalijeera-aromatic-rice-2kg
12,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/aromatic-rice/products/chinigura-rice-pran-1kg
13,"
Inventory policy :

                
                5
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/balm-cream-spray/products/shishu-care-talc-powder-ptanjali-100g
14,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/balm-cream-spray/products/vicks
15,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/balm-cream-spray/products/moov-spray
16,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/balm-cream-spray/products/krack-cream
17,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/balm-cream-spray/products/itch-guard-25g
18,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/balm-cream-spray/products/itch-guard
19,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/balm-cream-spray/products/iodex
20,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/balm-cream-spray/products/boroline
21,"
Inventory policy :

This product is available!

",https://www.ajijo.com.au/collections/balm-cream-spray/products/zandu-ultra-power-8ml
22,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/banana-chips/products/yellow-banana-wafers-indya-400g
23,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/banana-chips/products/yellow-banana-chipa-500g-sabrini
24,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/banana-chips/products/black-pepper-banana-chips-500g-sabrini
25,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/banana-chips/products/banana-pepper-chips-200g-malabar-treats
26,"
Inventory policy :

                
                15
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/banana-chips/products/banana-chips-400g-id
27,"
Inventory policy :

                
                8
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/banana-chips/products/banana-chips-200g-id
28,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/banana-chips/products/banana-chilly-chips-454g-malabar-treats
29,"
Inventory policy :

This product is out of stock.

",https://www.ajijo.com.au/collections/basmati-rice/products/devaaya-basmati-rice-10-kg
30,"
Inventory policy :

                
                12
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/basmati-rice/products/basmati-rice-india-gate-everyday-5kg
31,"
Inventory policy :

                
                11
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/basmati-rice/products/small-shells-pasta-san-remo-500-g
32,"
Inventory policy :

                
                11
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/basmati-rice/products/instant-spaghetti-san-remo-500-g
33,"
Inventory policy :

                
                9
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/basmati-rice/products/penne-pasta-family-pack-san-remo-750-g
34,"
Inventory policy :

                
                10
                
                 
              This product is available!

",https://www.ajijo.com.au/collections/basmati-rice/products/macaroni-san-remo-500-g
