Date,Balance
01 Jan 2019,$213.11 CR
01 Jan 2019,$203.11 CR
01 Jan 2019,$189.36 CR
03 Jan 2019,$166.66 CR
03 Jan 2019,$155.66 CR
03 Jan 2019,$144.66 CR
03 Jan 2019,$134.66 CR
03 Jan 2019,$117.36 CR
03 Jan 2019,$96.46 CR
03 Jan 2019,$69.72 CR
03 Jan 2019,$60.73 CR
03 Jan 2019,"$5,060.73 CR"
03 Jan 2019,"$4,860.73 CR"
03 Jan 2019,"$4,760.73 CR"
03 Jan 2019,"$4,681.73 CR"
04 Jan 2019,"$4,665.58 CR"
08 Jan 2019,"$4,630.63 CR"
11 Jan 2019,"$4,614.48 CR"
15 Jan 2019,"$4,040.00 CR"
18 Jan 2019,"$4,035.01 CR"
18 Jan 2019,"$4,018.86 CR"
22 Jan 2019,"$4,002.41 CR"
23 Jan 2019,"$14,002.41 CR"
25 Jan 2019,"$13,986.26 CR"
28 Jan 2019,"$13,896.96 CR"
28 Jan 2019,"$13,539.72 CR"
29 Jan 2019,"$12,339.72 CR"
30 Jan 2019,"$12,282.72 CR"
31 Jan 2019,"$12,272.72 CR"
31 Jan 2019,"$12,229.72 CR"
31 Jan 2019,"$12,179.22 CR"
01 Feb 2019,"$12,173.73 CR"
01 Feb 2019,"$12,152.48 CR"
01 Feb 2019,"$12,135.08 CR"
01 Feb 2019,"$8,866.18 CR"
01 Feb 2019,"$8,838.58 CR"
01 Feb 2019,"$8,823.57 CR"
01 Feb 2019,"$8,807.42 CR"
02 Feb 2019,"$8,560.76 CR"
02 Feb 2019,"$8,419.54 CR"
02 Feb 2019,"$8,415.30 CR"
02 Feb 2019,"$8,404.16 CR"
02 Feb 2019,"$8,388.96 CR"
02 Feb 2019,"$8,384.91 CR"
02 Feb 2019,"$8,380.86 CR"
02 Feb 2019,"$8,375.61 CR"
02 Feb 2019,"$8,291.61 CR"
02 Feb 2019,"$8,276.66 CR"
02 Feb 2019,"$8,168.68 CR"
02 Feb 2019,"$8,142.73 CR"
02 Feb 2019,"$8,133.78 CR"
04 Feb 2019,"$7,946.78 CR"
04 Feb 2019,"$8,133.78 CR"
05 Feb 2019,"$8,137.83 CR"
07 Feb 2019,"$8,097.83 CR"
08 Feb 2019,"$7,946.82 CR"
08 Feb 2019,"$7,930.67 CR"
09 Feb 2019,"$7,914.98 CR"
09 Feb 2019,"$7,914.51 CR"
11 Feb 2019,"$6,914.51 CR"
12 Feb 2019,"$6,893.43 CR"
12 Feb 2019,"$6,892.80 CR"
13 Feb 2019,"$6,793.80 CR"
13 Feb 2019,"$6,711.96 CR"
14 Feb 2019,"$6,676.48 CR"
