Date,Balance
01 Jan 2020,$177.40 CR
01 Jan 2020,$153.20 CR
02 Jan 2020,$112.34 CR
02 Jan 2020,$712.34 CR
02 Jan 2020,$112.34 CR
03 Jan 2020,$81.54 CR
03 Jan 2020,$67.04 CR
03 Jan 2020,$64.54 CR
03 Jan 2020,$24.55 CR
03 Jan 2020,$8.40 CR
03 Jan 2020,$24.55 CR
03 Jan 2020,$19.55 CR
04 Jan 2020,$619.55 CR
05 Jan 2020,"$4,619.55 CR"
05 Jan 2020,$369.55 CR
05 Jan 2020,$349.55 CR
05 Jan 2020,$364.55 CR
06 Jan 2020,$328.55 CR
07 Jan 2020,$316.67 CR
07 Jan 2020,$272.72 CR
08 Jan 2020,$260.73 CR
08 Jan 2020,$211.23 CR
08 Jan 2020,$200.64 CR
08 Jan 2020,$178.15 CR
08 Jan 2020,$174.15 CR
10 Jan 2020,$121.95 CR
10 Jan 2020,$89.65 CR
10 Jan 2020,$121.95 CR
10 Jan 2020,$116.95 CR
10 Jan 2020,$109.45 CR
10 Jan 2020,$159.45 CR
10 Jan 2020,"$4,409.45 CR"
10 Jan 2020,$159.45 CR
10 Jan 2020,"$1,159.45 CR"
10 Jan 2020,"$1,140.92 CR"
11 Jan 2020,"$1,131.47 CR"
11 Jan 2020,"$1,116.47 CR"
11 Jan 2020,"$1,076.47 CR"
12 Jan 2020,"$1,102.47 CR"
12 Jan 2020,"$1,098.47 CR"
14 Jan 2020,"$1,077.26 CR"
14 Jan 2020,"$1,016.66 CR"
14 Jan 2020,$981.62 CR
14 Jan 2020,$945.22 CR
14 Jan 2020,$933.10 CR
14 Jan 2020,$919.70 CR
15 Jan 2020,$910.00 CR
15 Jan 2020,$889.80 CR
15 Jan 2020,$854.40 CR
16 Jan 2020,$845.40 CR
16 Jan 2020,"$2,045.40 CR"
16 Jan 2020,"$1,245.40 CR"
17 Jan 2020,"$1,215.40 CR"
17 Jan 2020,"$1,160.25 CR"
17 Jan 2020,"$1,152.75 CR"
17 Jan 2020,"$1,104.30 CR"
18 Jan 2020,"$1,068.20 CR"
19 Jan 2020,"$1,020.20 CR"
20 Jan 2020,$960.20 CR
20 Jan 2020,$957.30 CR
21 Jan 2020,$932.90 CR
21 Jan 2020,$912.70 CR
21 Jan 2020,$868.90 CR
21 Jan 2020,$861.65 CR
21 Jan 2020,$861.43 CR
21 Jan 2020,$844.07 CR
22 Jan 2020,$801.88 CR
22 Jan 2020,$800.61 CR
22 Jan 2020,$768.11 CR
22 Jan 2020,$757.83 CR
22 Jan 2020,$695.59 CR
22 Jan 2020,$655.38 CR
22 Jan 2020,$609.23 CR
23 Jan 2020,$591.73 CR
23 Jan 2020,$591.20 CR
23 Jan 2020,$573.00 CR
23 Jan 2020,"$2,173.00 CR"
23 Jan 2020,$573.00 CR
23 Jan 2020,$531.50 CR
24 Jan 2020,$512.50 CR
24 Jan 2020,"$1,212.50 CR"
24 Jan 2020,$512.50 CR
24 Jan 2020,$496.35 CR
25 Jan 2020,$473.65 CR
25 Jan 2020,$447.15 CR
27 Jan 2020,$423.63 CR
27 Jan 2020,$380.57 CR
27 Jan 2020,$395.57 CR
29 Jan 2020,$373.09 CR
29 Jan 2020,$362.28 CR
29 Jan 2020,$336.40 CR
29 Jan 2020,$335.62 CR
29 Jan 2020,$333.22 CR
29 Jan 2020,$331.32 CR
29 Jan 2020,$320.33 CR
29 Jan 2020,$263.03 CR
30 Jan 2020,$244.13 CR
30 Jan 2020,$215.33 CR
30 Jan 2020,$191.53 CR
31 Jan 2020,$162.67 CR
31 Jan 2020,$79.25 CR
31 Jan 2020,$69.34 CR
31 Jan 2020,$269.34 CR
31 Jan 2020,$253.19 CR
31 Jan 2020,$203.20 CR
31 Jan 2020,$161.25 CR
01 Feb 2020,$181.25 CR
01 Feb 2020,$201.25 CR
01 Feb 2020,$190.28 CR
01 Feb 2020,$179.86 CR
03 Feb 2020,$135.61 CR
04 Feb 2020,$108.91 CR
04 Feb 2020,$81.41 CR
04 Feb 2020,$281.41 CR
05 Feb 2020,$220.72 CR
06 Feb 2020,$202.52 CR
06 Feb 2020,$189.95 CR
06 Feb 2020,$171.75 CR
06 Feb 2020,$153.55 CR
06 Feb 2020,$173.55 CR
06 Feb 2020,$129.35 CR
06 Feb 2020,$229.35 CR
06 Feb 2020,$247.35 CR
07 Feb 2020,$235.36 CR
07 Feb 2020,$224.20 CR
07 Feb 2020,$213.91 CR
07 Feb 2020,$185.11 CR
07 Feb 2020,$235.11 CR
07 Feb 2020,$192.05 CR
07 Feb 2020,$175.90 CR
08 Feb 2020,$126.38 CR
08 Feb 2020,$103.89 CR
08 Feb 2020,$67.89 CR
08 Feb 2020,$97.89 CR
08 Feb 2020,$122.89 CR
08 Feb 2020,$97.89 CR
08 Feb 2020,$92.39 CR
08 Feb 2020,$67.89 CR
11 Feb 2020,$57.79 CR
11 Feb 2020,$36.79 CR
11 Feb 2020,$5.47 CR
11 Feb 2020,$35.47 CR
11 Feb 2020,$31.52 CR
12 Feb 2020,$131.52 CR
13 Feb 2020,$191.52 CR
14 Feb 2020,$181.02 CR
14 Feb 2020,$167.96 CR
14 Feb 2020,$140.00 CR
14 Feb 2020,"$30,140.00 CR"
14 Feb 2020,"$30,123.85 CR"
15 Feb 2020,"$30,080.35 CR"
15 Feb 2020,"$25,830.35 CR"
15 Feb 2020,"$24,230.35 CR"
15 Feb 2020,"$24,195.70 CR"
17 Feb 2020,"$24,130.70 CR"
17 Feb 2020,"$24,073.71 CR"
17 Feb 2020,"$24,031.76 CR"
18 Feb 2020,"$24,021.42 CR"
18 Feb 2020,"$23,993.62 CR"
18 Feb 2020,"$23,983.36 CR"
18 Feb 2020,"$23,971.73 CR"
18 Feb 2020,"$23,839.65 CR"
18 Feb 2020,"$23,777.95 CR"
18 Feb 2020,"$23,759.95 CR"
18 Feb 2020,"$23,752.00 CR"
19 Feb 2020,"$23,653.00 CR"
19 Feb 2020,"$23,614.25 CR"
19 Feb 2020,$420.25 CR
19 Feb 2020,$412.80 CR
19 Feb 2020,$412.58 CR
19 Feb 2020,$364.58 CR
19 Feb 2020,$318.01 CR
19 Feb 2020,$328.01 CR
19 Feb 2020,"$1,028.01 CR"
19 Feb 2020,$928.01 CR
19 Feb 2020,$828.01 CR
19 Feb 2020,$805.01 CR
20 Feb 2020,$765.71 CR
21 Feb 2020,$722.26 CR
21 Feb 2020,$720.96 CR
21 Feb 2020,$694.11 CR
21 Feb 2020,$573.36 CR
21 Feb 2020,$561.03 CR
21 Feb 2020,$544.88 CR
22 Feb 2020,$508.03 CR
23 Feb 2020,"$2,108.03 CR"
23 Feb 2020,$508.03 CR
23 Feb 2020,$501.91 CR
24 Feb 2020,$490.03 CR
25 Feb 2020,$471.03 CR
25 Feb 2020,$381.99 CR
25 Feb 2020,$363.84 CR
25 Feb 2020,$363.30 CR
25 Feb 2020,$343.30 CR
25 Feb 2020,$328.30 CR
26 Feb 2020,$312.40 CR
26 Feb 2020,$362.40 CR
26 Feb 2020,$315.30 CR
26 Feb 2020,$273.35 CR
27 Feb 2020,$262.62 CR
27 Feb 2020,$142.62 CR
