Date,Balance
17 Mar 2020,"$1,670.15 CR"
17 Mar 2020,"$1,636.89 CR"
17 Mar 2020,"$1,608.89 CR"
17 Mar 2020,"$1,584.84 CR"
17 Mar 2020,"$1,560.95 CR"
17 Mar 2020,"$1,547.95 CR"
17 Mar 2020,"$1,534.95 CR"
17 Mar 2020,"$1,516.95 CR"
17 Mar 2020,"$1,504.95 CR"
17 Mar 2020,"$1,496.95 CR"
17 Mar 2020,"$1,484.95 CR"
17 Mar 2020,"$1,471.05 CR"
18 Mar 2020,"$1,402.05 CR"
18 Mar 2020,"$1,367.15 CR"
18 Mar 2020,"$1,356.90 CR"
18 Mar 2020,"$1,296.28 CR"
18 Mar 2020,"$1,285.73 CR"
18 Mar 2020,"$1,272.23 CR"
18 Mar 2020,"$1,243.03 CR"
18 Mar 2020,"$1,143.03 CR"
18 Mar 2020,"$1,133.03 CR"
18 Mar 2020,"$1,154.53 CR"
19 Mar 2020,"$1,170.90 CR"
19 Mar 2020,"$1,169.00 CR"
19 Mar 2020,"$1,130.00 CR"
20 Mar 2020,"$1,121.65 CR"
20 Mar 2020,"$1,121.40 CR"
20 Mar 2020,"$1,092.45 CR"
20 Mar 2020,"$1,057.45 CR"
20 Mar 2020,"$1,557.45 CR"
20 Mar 2020,"$1,541.30 CR"
21 Mar 2020,"$1,491.76 CR"
21 Mar 2020,"$1,490.27 CR"
21 Mar 2020,"$1,468.87 CR"
21 Mar 2020,"$1,438.87 CR"
21 Mar 2020,"$1,396.97 CR"
21 Mar 2020,"$1,377.17 CR"
21 Mar 2020,"$1,327.17 CR"
23 Mar 2020,"$1,302.17 CR"
23 Mar 2020,"$1,252.17 CR"
24 Mar 2020,"$1,190.72 CR"
24 Mar 2020,"$1,163.27 CR"
24 Mar 2020,"$1,138.47 CR"
24 Mar 2020,"$1,117.64 CR"
24 Mar 2020,"$1,117.02 CR"
24 Mar 2020,"$1,097.02 CR"
24 Mar 2020,$947.59 CR
24 Mar 2020,$904.60 CR
24 Mar 2020,$873.10 CR
25 Mar 2020,$831.20 CR
26 Mar 2020,$811.21 CR
26 Mar 2020,$769.31 CR
27 Mar 2020,$724.31 CR
28 Mar 2020,$683.31 CR
28 Mar 2020,$592.31 CR
28 Mar 2020,$501.31 CR
28 Mar 2020,$488.86 CR
28 Mar 2020,$458.06 CR
29 Mar 2020,$473.06 CR
29 Mar 2020,$485.51 CR
29 Mar 2020,$510.51 CR
29 Mar 2020,$525.41 CR
29 Mar 2020,$500.41 CR
29 Mar 2020,$508.41 CR
30 Mar 2020,$466.41 CR
31 Mar 2020,$432.01 CR
31 Mar 2020,$400.51 CR
31 Mar 2020,$366.86 CR
31 Mar 2020,$342.06 CR
31 Mar 2020,$314.06 CR
31 Mar 2020,$294.06 CR
01 Apr 2020,$254.61 CR
01 Apr 2020,$229.81 CR
01 Apr 2020,$206.91 CR
01 Apr 2020,$166.92 CR
01 Apr 2020,$142.12 CR
01 Apr 2020,$165.12 CR
03 Apr 2020,$178.82 CR
03 Apr 2020,$163.82 CR
03 Apr 2020,$193.82 CR
03 Apr 2020,$163.82 CR
04 Apr 2020,$111.97 CR
04 Apr 2020,$80.47 CR
04 Apr 2020,$200.47 CR
04 Apr 2020,$225.47 CR
04 Apr 2020,$202.47 CR
05 Apr 2020,$242.47 CR
05 Apr 2020,$272.47 CR
05 Apr 2020,$294.47 CR
05 Apr 2020,$314.47 CR
05 Apr 2020,$328.17 CR
06 Apr 2020,$370.17 CR
07 Apr 2020,$332.27 CR
07 Apr 2020,$307.37 CR
07 Apr 2020,$284.27 CR
07 Apr 2020,$324.27 CR
07 Apr 2020,$280.95 CR
07 Apr 2020,$288.95 CR
07 Apr 2020,$296.95 CR
07 Apr 2020,$336.95 CR
07 Apr 2020,$299.95 CR
07 Apr 2020,$336.95 CR
07 Apr 2020,$299.95 CR
08 Apr 2020,$287.96 CR
08 Apr 2020,$185.68 CR
08 Apr 2020,$165.91 CR
08 Apr 2020,$111.61 CR
