,name,form,temper,temper_code,tensile_strength,thermal_conductivity,cu,pb,zn,fe,p,ag,as,o,sb,te,ni,bi,cd,sn,s,mn,zr,mg,co,al,be,cr,si,ti,ca,li,b,c,nb,se
0,C10100 Oxygen-Free-Electronic,products,1/2 Hard,H02,42,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,C10100 Oxygen-Free-Electronic,products,1/4 Hard,H01,38,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,C10100 Oxygen-Free-Electronic,products,1/8 Hard,H00,36,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,C10100 Oxygen-Free-Electronic,products,As Hot Rolled,M20,34,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,C10100 Oxygen-Free-Electronic,products,As Hot Rolled,M20,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,C10100 Oxygen-Free-Electronic,products,Extra Spring,H10,57,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,C10100 Oxygen-Free-Electronic,products,Hard,H04,50,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,C10100 Oxygen-Free-Electronic,products,Noal Grain Size 0.025 mm,OS025,34,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,C10100 Oxygen-Free-Electronic,products,Nominal Grain Size 0.050 mm,OS050,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,C10100 Oxygen-Free-Electronic,products,Spring,H08,55,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,C10100 Oxygen-Free-Electronic,rod,As Hot Rolled,M20,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,C10100 Oxygen-Free-Electronic,rod,Hard,H04,55,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,C10100 Oxygen-Free-Electronic,rod,Hard,H04,45,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,C10100 Oxygen-Free-Electronic,rod,Hard,H04,48,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,C10100 Oxygen-Free-Electronic,rod,Nominal Grain Size 0.050 mm,OS050,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,C10100 Oxygen-Free-Electronic,shapes,As Hot Extruded,M30,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,C10100 Oxygen-Free-Electronic,shapes,As Hot Rolled,M20,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,C10100 Oxygen-Free-Electronic,shapes,Hard,H04,40,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,C10100 Oxygen-Free-Electronic,shapes,Nominal Grain Size 0.050 mm,OS050,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,C10100 Oxygen-Free-Electronic,tube,Hard Drawn,H80,55,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,C10100 Oxygen-Free-Electronic,tube,"Light Drawn, Light Cold Rolled",H55,40,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,C10100 Oxygen-Free-Electronic,tube,Noal Grain Size 0.025 mm,OS025,34,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,C10100 Oxygen-Free-Electronic,tube,Nominal Grain Size 0.050 mm,OS050,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,C10100 Oxygen-Free-Electronic,wire,Hard,H04,55,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,C10100 Oxygen-Free-Electronic,wire,Nominal Grain Size 0.050 mm,OS050,35,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,C10100 Oxygen-Free-Electronic,wire,Spring,H08,66,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,C10200 Oxygen-Free,products,1/2 Hard,H02,42,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,C10200 Oxygen-Free,products,1/4 Hard,H01,38,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,C10200 Oxygen-Free,products,1/8 Hard,H00,36,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,C10200 Oxygen-Free,products,As Hot Rolled,M20,34,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,C10200 Oxygen-Free,products,As Hot Rolled,M20,32,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,C10200 Oxygen-Free,products,Extra Spring,H10,57,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,C10200 Oxygen-Free,products,Hard,H04,50,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,C10200 Oxygen-Free,products,Hard,H04,45,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,C10200 Oxygen-Free,products,Noal Grain Size 0.025 mm,OS025,34,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,C10200 Oxygen-Free,products,Nominal Grain Size 0.050 mm,OS050,32,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,C10200 Oxygen-Free,products,Spring,H08,55,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,C10200 Oxygen-Free,rod,As Hot Rolled,M20,32,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,C10200 Oxygen-Free,rod,Hard,H04,55,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,C10200 Oxygen-Free,rod,Hard,H04,48,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,C10200 Oxygen-Free,rod,Hard,H04,45,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,C10200 Oxygen-Free,rod,Nominal Grain Size 0.050 mm,OS050,32,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
