Confidence %,Cu,Pb,Zn,Fe,P,Ni,S,Mn,Zr,Co,Cr,Si,Ti,B,C
100.0,65.67,0.005,0.0,0.75,0.005,30.5,0.005,0.75,0.1,0.05,1.75,0.3,0.09,0.001,0.02
18.8,64.914,0.049,0.988,0.741,0.005,30.149,0.0,0.988,0.0,0.049,1.73,0.297,0.089,0.0,0.0
18.8,64.595,0.049,0.984,0.738,0.005,30.492,0.0,0.984,0.0,0.049,1.721,0.295,0.089,0.0,0.0
18.8,64.795,0.049,0.978,0.734,0.005,30.319,0.0,0.978,0.0,0.049,1.712,0.293,0.088,0.0,0.0
18.8,64.626,0.049,0.984,0.738,0.005,30.507,0.0,0.984,0.0,0.0,1.722,0.295,0.089,0.0,0.0
18.8,64.827,0.049,0.979,0.734,0.005,30.334,0.0,0.979,0.0,0.0,1.712,0.294,0.088,0.0,0.0
18.8,65.146,0.049,0.983,0.737,0.005,29.992,0.0,0.983,0.0,0.0,1.721,0.295,0.088,0.0,0.0
18.8,64.946,0.049,0.989,0.742,0.005,30.164,0.0,0.989,0.0,0.0,1.731,0.297,0.089,0.0,0.0
18.8,65.114,0.049,0.983,0.737,0.005,29.977,0.0,0.983,0.0,0.049,1.72,0.295,0.088,0.0,0.0
18.7,64.949,0.049,0.989,0.742,0.0,30.165,0.0,0.989,0.0,0.0,1.731,0.297,0.089,0.0,0.0
