Clothing ID,Review Sentiment,Title Sentiment,Review Polarity_Negative,Review Polarity_Positive,Title Polarity_Negative,Title Polarity_Positive,"(0, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 150]",Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Total Ratings,Class Name_Blouses,Class Name_Casual bottoms,Class Name_Chemises,Class Name_Dresses,Class Name_Fine gauge,Class Name_Intimates,Class Name_Jackets,Class Name_Jeans,Class Name_Knits,Class Name_Layering,Class Name_Legwear,Class Name_Lounge,Class Name_Outerwear,Class Name_Pants,Class Name_Shorts,Class Name_Skirts,Class Name_Sleep,Class Name_Sweaters,Class Name_Swim,Class Name_Trend,Department Name_Bottoms,Department Name_Dresses,Department Name_Intimate,Department Name_Jackets,Department Name_Tops,Department Name_Trend,Division Name_General,Division Name_General Petite,Division Name_Initmates
0 General,,,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1 Initmates,0.33293261130650836,0.3484099904696147,1,2.0,1,2.0,0,1,1,1,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10 Initmates,0.9955784678459167,0.997503101825714,0,1.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
100 Initmates,-0.9986509680747986,-0.9999721050262452,1,0.0,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1000 General,0.999316950639089,0.9886030157407123,0,3.0,0,3.0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1001 General,0.433425016892262,0.40550585463643074,11,28.0,9,23.0,0,8,16,8,5,5,1,0,0,1,2,4,9,27,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1002 General,0.332947497566541,0.6174308820204302,4,8.0,2,9.0,0,1,3,1,6,1,0,0,1,1,2,1,4,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1003 General,0.15905489991692937,0.4990588040912853,7,10.0,4,13.0,0,4,7,1,3,2,0,0,0,0,1,3,4,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1003 General Petite,0.5968506574630738,0.5151418894529343,1,4.0,1,3.0,0,1,2,1,1,0,0,0,0,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1004 General,0.13867425918579107,-0.2703881462415059,3,4.0,4,2.0,0,2,2,2,0,1,0,0,0,0,2,1,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1004 General Petite,0.3609035134315491,0.9686821858088176,5,10.0,0,15.0,0,2,5,4,4,2,1,0,0,0,0,1,4,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1005 General,0.5704324500901359,0.6770389378070831,1,6.0,1,5.0,0,1,3,0,3,0,0,0,0,0,0,1,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1005 General Petite,0.999947190284729,0.9994137287139891,0,1.0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1006 General,-0.2671958565711975,-0.6607107400894165,3,2.0,4,1.0,0,1,3,0,1,0,0,0,0,0,3,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1007 General Petite,-0.999997854232788,,1,0.0,0,0.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
