,num_hidden_layers,neurons_per_layer,dropout_rate,optimizer,activation_function,fitness_scores
0,2.0,93.0,0.3573950720429822,sgd,relu,0.3763860399345038
1,2.0,93.0,0.19975421731532286,sgd,relu,0.372747456364651
2,2.0,70.0,0.15968542357927834,sgd,relu,0.3814154081212905
3,6.0,85.0,0.17298116180354806,sgd,relu,0.395266054862816
4,2.0,75.0,0.1869519485002175,sgd,relu,0.357957904668431
5,1.0,39.0,0.2589180623217192,sgd,relu,0.410241682743707
6,2.0,100.0,0.11309953817463135,sgd,relu,0.35249193273187085
7,2.0,69.0,0.19975421731532286,sgd,relu,0.3675151851932038
8,3.0,85.0,0.12316073143079966,sgd,relu,0.3631265837406637
9,5.0,75.0,0.17298116180354806,sgd,relu,0.3696631976617331
10,3.0,82.0,0.23204372201091866,sgd,relu,0.3760859833855118
11,3.0,82.0,0.34089661776708285,sgd,relu,0.3737593914857073
12,2.0,85.0,0.014485933029906415,sgd,relu,0.41307148991359527
13,3.0,44.0,0.1869519485002175,sgd,relu,0.3905428558070906
14,3.0,101.0,0.3398756843981485,sgd,relu,0.38265841252568944
15,3.0,95.0,0.3398756843981485,sgd,relu,0.37573282710319994
16,3.0,97.0,0.3398756843981485,sgd,relu,0.3609233240847186
17,3.0,54.0,0.11309953817463135,sgd,relu,0.34963556034608667
18,2.0,100.0,0.1869519485002175,sgd,relu,0.38180655601708235
19,3.0,87.0,0.19975421731532286,sgd,relu,0.3877802430112028
20,2.0,89.0,0.19975421731532286,sgd,relu,0.3617395382395382
21,2.0,85.0,0.014485933029906415,sgd,relu,0.36863452804505437
22,2.0,89.0,0.2084752465079731,sgd,relu,0.38314376150165624
23,4.0,110.0,0.1869519485002175,sgd,relu,0.34853607275914966
0,2.0,93.0,0.3573950720429822,rmsprop,relu,0.3846124236224571
1,2.0,93.0,0.19975421731532286,rmsprop,relu,0.396834896098054
2,2.0,70.0,0.15968542357927834,rmsprop,relu,0.3859958439953729
3,6.0,85.0,0.17298116180354806,rmsprop,relu,0.371929116634999
4,2.0,75.0,0.1869519485002175,rmsprop,relu,0.38471386765968807
5,1.0,39.0,0.2589180623217192,rmsprop,relu,0.35989533255768075
6,2.0,100.0,0.11309953817463135,rmsprop,relu,0.3822099535199549
7,2.0,69.0,0.19975421731532286,rmsprop,relu,0.35548309947362583
8,3.0,85.0,0.12316073143079966,rmsprop,relu,0.39999696701911513
9,5.0,75.0,0.17298116180354806,rmsprop,relu,0.38883703499802574
10,3.0,82.0,0.23204372201091866,rmsprop,relu,0.38285499646552285
11,3.0,82.0,0.34089661776708285,rmsprop,relu,0.36436486140939583
12,2.0,85.0,0.014485933029906415,rmsprop,relu,0.3774466750953285
13,3.0,44.0,0.1869519485002175,rmsprop,relu,0.37816354886943127
14,3.0,101.0,0.3398756843981485,rmsprop,relu,0.36413254711781284
15,3.0,95.0,0.3398756843981485,rmsprop,relu,0.37014957447410884
16,3.0,97.0,0.3398756843981485,rmsprop,relu,0.40762308208052433
17,3.0,54.0,0.11309953817463135,rmsprop,relu,0.36510149477206394
18,2.0,100.0,0.1869519485002175,rmsprop,relu,0.39311994342684875
19,3.0,87.0,0.19975421731532286,rmsprop,relu,0.3800731028200187
20,2.0,89.0,0.19975421731532286,rmsprop,relu,0.38067707885509744
21,2.0,85.0,0.014485933029906415,rmsprop,relu,0.37094838085890725
22,2.0,89.0,0.2084752465079731,rmsprop,relu,0.36213594643342933
23,4.0,110.0,0.1869519485002175,rmsprop,relu,0.3756885979068165
0,2.0,93.0,0.3573950720429822,adam,relu,0.3928403883698001
1,2.0,93.0,0.19975421731532286,adam,relu,0.40432526606520414
2,2.0,70.0,0.15968542357927834,adam,relu,0.3869074629074629
3,6.0,85.0,0.17298116180354806,adam,relu,0.354026265862583
4,2.0,75.0,0.1869519485002175,adam,relu,0.358976885687412
5,1.0,39.0,0.2589180623217192,adam,relu,0.3832657176910571
6,2.0,100.0,0.11309953817463135,adam,relu,0.3996477923071874
7,2.0,69.0,0.19975421731532286,adam,relu,0.355911843067522
8,3.0,85.0,0.12316073143079966,adam,relu,0.37712353436037643
9,5.0,75.0,0.17298116180354806,adam,relu,0.36205662665772215
10,3.0,82.0,0.23204372201091866,adam,relu,0.35842620880551235
11,3.0,82.0,0.34089661776708285,adam,relu,0.37536053240506684
12,2.0,85.0,0.014485933029906415,adam,relu,0.37338821387392473
13,3.0,44.0,0.1869519485002175,adam,relu,0.3695628815628816
14,3.0,101.0,0.3398756843981485,adam,relu,0.3489461464946104
15,3.0,95.0,0.3398756843981485,adam,relu,0.373757781434252
16,3.0,97.0,0.3398756843981485,adam,relu,0.36185852024718423
17,3.0,54.0,0.11309953817463135,adam,relu,0.39272313943366577
18,2.0,100.0,0.1869519485002175,adam,relu,0.3968360200171346
19,3.0,87.0,0.19975421731532286,adam,relu,0.34387798458851093
20,2.0,89.0,0.19975421731532286,adam,relu,0.379567710445729
21,2.0,85.0,0.014485933029906415,adam,relu,0.3819976402951232
22,2.0,89.0,0.2084752465079731,adam,relu,0.3570441309319138
23,4.0,110.0,0.1869519485002175,adam,relu,0.40226035076035077
0,2.0,93.0,0.3573950720429822,adadelta,relu,0.4051209459487456
1,2.0,93.0,0.19975421731532286,adadelta,relu,0.37973826173826175
2,2.0,70.0,0.15968542357927834,adadelta,relu,0.36691957165641376
3,6.0,85.0,0.17298116180354806,adadelta,relu,0.40063106195490106
4,2.0,75.0,0.1869519485002175,adadelta,relu,0.3954875971981235
5,1.0,39.0,0.2589180623217192,adadelta,relu,0.3477477522477523
